tensor(-32.3916, dtype=torch.float64)
tensor(-32.6336, dtype=torch.float64)
tensor(-32.7487, dtype=torch.float64)
tensor(-32.8348, dtype=torch.float64)
tensor(-32.9994, dtype=torch.float64)
tensor(-33.1487, dtype=torch.float64)
tensor(-33.3412, dtype=torch.float64)
tensor(-33.3839, dtype=torch.float64)
tensor(-33.6174, dtype=torch.float64)
tensor(-33.7514, dtype=torch.float64)
tensor(-33.9127, dtype=torch.float64)
tensor(-34.0134, dtype=torch.float64)
tensor(-34.1640, dtype=torch.float64)
tensor(-34.2620, dtype=torch.float64)
tensor(-34.4353, dtype=torch.float64)
tensor(-34.5261, dtype=torch.float64)
tensor(-34.6686, dtype=torch.float64)
tensor(-34.8440, dtype=torch.float64)
tensor(-34.9737, dtype=torch.float64)
tensor(-35.0523, dtype=torch.float64)
tensor(-35.2341, dtype=torch.float64)
tensor(-35.3196, dtype=torch.float64)
tensor(-35.4283, dtype=torch.float64)
tensor(-35.6209, dtype=torch.float64)
tensor(-35.7646, dtype=torch.float64)
tensor(-35.9013, dtype=torch.float64)
tensor(-35.9881, dtype=torch.float64)
tensor(-36.1648, dtype=torch.float64)
tensor(-36.2729, dtype=torch.float64)
tensor(-36.3466, dtype=torch.float64)
tensor(-36.5584, dtype=torch.float64)
tensor(-36.6151, dtype=torch.float64)
tensor(-36.7866, dtype=torch.float64)
tensor(-36.8100, dtype=torch.float64)
tensor(-37.0487, dtype=torch.float64)
tensor(-37.2104, dtype=torch.float64)
tensor(-37.3889, dtype=torch.float64)
tensor(-37.4721, dtype=torch.float64)
tensor(-37.5787, dtype=torch.float64)
tensor(-37.6578, dtype=torch.float64)
tensor(-37.9007, dtype=torch.float64)
tensor(-37.9292, dtype=torch.float64)
tensor(-38.0264, dtype=torch.float64)
tensor(-38.2796, dtype=torch.float64)
tensor(-38.3958, dtype=torch.float64)
tensor(-38.4721, dtype=torch.float64)
tensor(-38.6059, dtype=torch.float64)
tensor(-38.7054, dtype=torch.float64)
tensor(-38.8404, dtype=torch.float64)
tensor(-38.9394, dtype=torch.float64)
tensor(-38.9972, dtype=torch.float64)
tensor(-39.0651, dtype=torch.float64)
tensor(-39.1179, dtype=torch.float64)
tensor(-39.2085, dtype=torch.float64)
tensor(-39.2579, dtype=torch.float64)
tensor(-39.3477, dtype=torch.float64)
tensor(-39.4337, dtype=torch.float64)
tensor(-39.5205, dtype=torch.float64)
tensor(-39.6496, dtype=torch.float64)
tensor(-39.7543, dtype=torch.float64)
tensor(-39.8200, dtype=torch.float64)
tensor(-39.9977, dtype=torch.float64)
tensor(-40.1225, dtype=torch.float64)
tensor(-40.2241, dtype=torch.float64)
tensor(-40.3692, dtype=torch.float64)
tensor(-40.4225, dtype=torch.float64)
tensor(-40.5301, dtype=torch.float64)
tensor(-40.6336, dtype=torch.float64)
tensor(-40.8273, dtype=torch.float64)
tensor(-40.9297, dtype=torch.float64)
tensor(-40.9927, dtype=torch.float64)
tensor(-41.0909, dtype=torch.float64)
tensor(-41.1705, dtype=torch.float64)
tensor(-41.4597, dtype=torch.float64)
tensor(-41.5872, dtype=torch.float64)
tensor(-41.6982, dtype=torch.float64)
tensor(-41.8252, dtype=torch.float64)
tensor(-42.0020, dtype=torch.float64)
tensor(-42.0244, dtype=torch.float64)
tensor(-42.2083, dtype=torch.float64)
tensor(-42.3613, dtype=torch.float64)
tensor(-42.4948, dtype=torch.float64)
tensor(-42.5910, dtype=torch.float64)
tensor(-42.7472, dtype=torch.float64)
tensor(-42.8407, dtype=torch.float64)
tensor(-42.9496, dtype=torch.float64)
tensor(-43.0865, dtype=torch.float64)
tensor(-43.2709, dtype=torch.float64)
tensor(-43.3949, dtype=torch.float64)
tensor(-43.4537, dtype=torch.float64)
tensor(-43.5835, dtype=torch.float64)
tensor(-43.8035, dtype=torch.float64)
tensor(-43.8961, dtype=torch.float64)
tensor(-44.0626, dtype=torch.float64)
tensor(-44.1236, dtype=torch.float64)
tensor(-44.2607, dtype=torch.float64)
tensor(-44.4199, dtype=torch.float64)
tensor(-44.5201, dtype=torch.float64)
tensor(-44.5913, dtype=torch.float64)
tensor(-44.8215, dtype=torch.float64)
tensor(-44.9018, dtype=torch.float64)
tensor(-45.0187, dtype=torch.float64)
tensor(-45.2843, dtype=torch.float64)
tensor(-45.3899, dtype=torch.float64)
tensor(-45.4985, dtype=torch.float64)
tensor(-45.5830, dtype=torch.float64)
tensor(-45.7380, dtype=torch.float64)
tensor(-45.8684, dtype=torch.float64)
tensor(-46.0045, dtype=torch.float64)
tensor(-46.1589, dtype=torch.float64)
tensor(-46.2213, dtype=torch.float64)
tensor(-46.4575, dtype=torch.float64)
tensor(-46.5755, dtype=torch.float64)
tensor(-46.6746, dtype=torch.float64)
tensor(-46.7442, dtype=torch.float64)
tensor(-46.9192, dtype=torch.float64)
tensor(-46.9248, dtype=torch.float64)
tensor(-47.1620, dtype=torch.float64)
tensor(-47.3107, dtype=torch.float64)
tensor(-47.3548, dtype=torch.float64)
tensor(-47.5204, dtype=torch.float64)
tensor(-47.6749, dtype=torch.float64)
tensor(-47.8230, dtype=torch.float64)
tensor(-47.9484, dtype=torch.float64)
tensor(-48.0476, dtype=torch.float64)
tensor(-48.1410, dtype=torch.float64)
tensor(-48.3205, dtype=torch.float64)
tensor(-48.3631, dtype=torch.float64)
tensor(-48.4671, dtype=torch.float64)
tensor(-48.6017, dtype=torch.float64)
tensor(-48.7472, dtype=torch.float64)
tensor(-48.9365, dtype=torch.float64)
tensor(-49.0518, dtype=torch.float64)
tensor(-49.1968, dtype=torch.float64)
tensor(-49.4082, dtype=torch.float64)
tensor(-49.5278, dtype=torch.float64)
tensor(-49.6522, dtype=torch.float64)
tensor(-49.7582, dtype=torch.float64)
tensor(-49.8741, dtype=torch.float64)
tensor(-49.9561, dtype=torch.float64)
tensor(-50.1436, dtype=torch.float64)
tensor(-50.2583, dtype=torch.float64)
tensor(-50.4583, dtype=torch.float64)
tensor(-50.5724, dtype=torch.float64)
tensor(-50.6558, dtype=torch.float64)
tensor(-50.8345, dtype=torch.float64)
tensor(-50.9781, dtype=torch.float64)
tensor(-51.0943, dtype=torch.float64)
tensor(-51.3526, dtype=torch.float64)
tensor(-51.4368, dtype=torch.float64)
tensor(-51.5340, dtype=torch.float64)
tensor(-51.6530, dtype=torch.float64)
tensor(-51.7951, dtype=torch.float64)
tensor(-51.8505, dtype=torch.float64)
tensor(-52.0245, dtype=torch.float64)
tensor(-52.1556, dtype=torch.float64)
tensor(-52.2917, dtype=torch.float64)
tensor(-52.3851, dtype=torch.float64)
tensor(-52.5911, dtype=torch.float64)
tensor(-52.7169, dtype=torch.float64)
tensor(-52.8169, dtype=torch.float64)
tensor(-53.0088, dtype=torch.float64)
tensor(-53.1351, dtype=torch.float64)
tensor(-53.2970, dtype=torch.float64)
tensor(-53.3832, dtype=torch.float64)
tensor(-53.4895, dtype=torch.float64)
tensor(-53.6202, dtype=torch.float64)
tensor(-53.7918, dtype=torch.float64)
tensor(-53.9113, dtype=torch.float64)
tensor(-53.9842, dtype=torch.float64)
tensor(-54.2263, dtype=torch.float64)
tensor(-54.2337, dtype=torch.float64)
tensor(-54.4472, dtype=torch.float64)
tensor(-54.5856, dtype=torch.float64)
tensor(-54.7291, dtype=torch.float64)
tensor(-54.8692, dtype=torch.float64)
tensor(-55.0084, dtype=torch.float64)
tensor(-55.0275, dtype=torch.float64)
tensor(-55.2603, dtype=torch.float64)
tensor(-55.4427, dtype=torch.float64)
tensor(-55.4661, dtype=torch.float64)
tensor(-55.6963, dtype=torch.float64)
tensor(-55.7476, dtype=torch.float64)
tensor(-55.8323, dtype=torch.float64)
tensor(-55.9906, dtype=torch.float64)
tensor(-56.1642, dtype=torch.float64)
tensor(-56.2602, dtype=torch.float64)
tensor(-56.4576, dtype=torch.float64)
tensor(-56.5572, dtype=torch.float64)
tensor(-56.6521, dtype=torch.float64)
tensor(-56.7944, dtype=torch.float64)
tensor(-56.8023, dtype=torch.float64)
tensor(-57.0709, dtype=torch.float64)
tensor(-57.1930, dtype=torch.float64)
tensor(-57.2661, dtype=torch.float64)
tensor(-57.3592, dtype=torch.float64)
tensor(-57.5387, dtype=torch.float64)
tensor(-57.6537, dtype=torch.float64)
tensor(-57.7777, dtype=torch.float64)
tensor(-57.9108, dtype=torch.float64)
tensor(-58.0713, dtype=torch.float64)
tensor(-58.1811, dtype=torch.float64)
tensor(-58.2344, dtype=torch.float64)
tensor(-58.4724, dtype=torch.float64)
tensor(-58.5830, dtype=torch.float64)
tensor(-58.6792, dtype=torch.float64)
tensor(-58.9259, dtype=torch.float64)
tensor(-58.9695, dtype=torch.float64)
tensor(-59.2216, dtype=torch.float64)
tensor(-59.2892, dtype=torch.float64)
tensor(-59.4923, dtype=torch.float64)
tensor(-59.5848, dtype=torch.float64)
tensor(-59.7734, dtype=torch.float64)
tensor(-59.9466, dtype=torch.float64)
tensor(-60.0806, dtype=torch.float64)
tensor(-60.2077, dtype=torch.float64)
tensor(-60.2278, dtype=torch.float64)
tensor(-60.4882, dtype=torch.float64)
tensor(-60.6309, dtype=torch.float64)
tensor(-60.7998, dtype=torch.float64)
tensor(-60.8376, dtype=torch.float64)
tensor(-61.0638, dtype=torch.float64)
tensor(-61.0998, dtype=torch.float64)
tensor(-61.3114, dtype=torch.float64)
tensor(-61.4517, dtype=torch.float64)
tensor(-61.5243, dtype=torch.float64)
tensor(-61.7218, dtype=torch.float64)
tensor(-61.8167, dtype=torch.float64)
tensor(-61.8310, dtype=torch.float64)
tensor(-62.0734, dtype=torch.float64)
tensor(-62.1954, dtype=torch.float64)
tensor(-62.2607, dtype=torch.float64)
tensor(-62.4007, dtype=torch.float64)
tensor(-62.5147, dtype=torch.float64)
tensor(-62.6644, dtype=torch.float64)
tensor(-62.8029, dtype=torch.float64)
tensor(-63.0816, dtype=torch.float64)
tensor(-63.1874, dtype=torch.float64)
tensor(-63.3245, dtype=torch.float64)
tensor(-63.4005, dtype=torch.float64)
tensor(-63.5127, dtype=torch.float64)
tensor(-63.6770, dtype=torch.float64)
tensor(-63.7673, dtype=torch.float64)
tensor(-63.8855, dtype=torch.float64)
tensor(-64.0220, dtype=torch.float64)
tensor(-64.0810, dtype=torch.float64)
