tensor(-100.1368, dtype=torch.float64)
tensor(-100.2337, dtype=torch.float64)
tensor(-100.3756, dtype=torch.float64)
tensor(-100.4418, dtype=torch.float64)
tensor(-100.4571, dtype=torch.float64)
tensor(-100.6172, dtype=torch.float64)
tensor(-100.6963, dtype=torch.float64)
tensor(-100.7266, dtype=torch.float64)
tensor(-100.9328, dtype=torch.float64)
tensor(-100.9666, dtype=torch.float64)
tensor(-101.1122, dtype=torch.float64)
tensor(-101.2430, dtype=torch.float64)
tensor(-101.3496, dtype=torch.float64)
tensor(-101.4173, dtype=torch.float64)
tensor(-101.5395, dtype=torch.float64)
tensor(-101.5737, dtype=torch.float64)
tensor(-101.7336, dtype=torch.float64)
tensor(-101.8110, dtype=torch.float64)
tensor(-101.8759, dtype=torch.float64)
tensor(-102.0052, dtype=torch.float64)
tensor(-102.0273, dtype=torch.float64)
tensor(-102.1685, dtype=torch.float64)
tensor(-102.2385, dtype=torch.float64)
tensor(-102.3718, dtype=torch.float64)
tensor(-102.4452, dtype=torch.float64)
tensor(-102.4991, dtype=torch.float64)
tensor(-102.6453, dtype=torch.float64)
tensor(-102.7436, dtype=torch.float64)
tensor(-102.8365, dtype=torch.float64)
tensor(-102.9575, dtype=torch.float64)
tensor(-103.0777, dtype=torch.float64)
tensor(-103.0777, dtype=torch.float64)
tensor(-103.2864, dtype=torch.float64)
tensor(-103.3659, dtype=torch.float64)
tensor(-103.4809, dtype=torch.float64)
tensor(-103.5986, dtype=torch.float64)
tensor(-103.7070, dtype=torch.float64)
tensor(-103.8246, dtype=torch.float64)
tensor(-103.9109, dtype=torch.float64)
tensor(-103.9863, dtype=torch.float64)
tensor(-104.0714, dtype=torch.float64)
tensor(-104.1965, dtype=torch.float64)
tensor(-104.2082, dtype=torch.float64)
tensor(-104.4029, dtype=torch.float64)
tensor(-104.5348, dtype=torch.float64)
tensor(-104.5980, dtype=torch.float64)
tensor(-104.7103, dtype=torch.float64)
tensor(-104.7619, dtype=torch.float64)
tensor(-104.8425, dtype=torch.float64)
tensor(-104.8565, dtype=torch.float64)
tensor(-105.0223, dtype=torch.float64)
tensor(-105.1102, dtype=torch.float64)
tensor(-105.2239, dtype=torch.float64)
tensor(-105.3134, dtype=torch.float64)
tensor(-105.3282, dtype=torch.float64)
tensor(-105.4593, dtype=torch.float64)
tensor(-105.5193, dtype=torch.float64)
tensor(-105.6449, dtype=torch.float64)
tensor(-105.7994, dtype=torch.float64)
tensor(-105.8585, dtype=torch.float64)
tensor(-105.8999, dtype=torch.float64)
tensor(-106.0840, dtype=torch.float64)
tensor(-106.1219, dtype=torch.float64)
tensor(-106.2500, dtype=torch.float64)
tensor(-106.2758, dtype=torch.float64)
tensor(-106.4410, dtype=torch.float64)
tensor(-106.5595, dtype=torch.float64)
tensor(-106.6314, dtype=torch.float64)
tensor(-106.7214, dtype=torch.float64)
tensor(-106.7734, dtype=torch.float64)
tensor(-106.8700, dtype=torch.float64)
tensor(-106.9630, dtype=torch.float64)
tensor(-107.1095, dtype=torch.float64)
tensor(-107.1469, dtype=torch.float64)
tensor(-107.2510, dtype=torch.float64)
tensor(-107.4069, dtype=torch.float64)
tensor(-107.4715, dtype=torch.float64)
tensor(-107.5807, dtype=torch.float64)
tensor(-107.6871, dtype=torch.float64)
tensor(-107.7448, dtype=torch.float64)
tensor(-107.8206, dtype=torch.float64)
tensor(-107.9280, dtype=torch.float64)
tensor(-107.9960, dtype=torch.float64)
tensor(-108.0643, dtype=torch.float64)
tensor(-108.1570, dtype=torch.float64)
tensor(-108.2355, dtype=torch.float64)
tensor(-108.3172, dtype=torch.float64)
tensor(-108.4126, dtype=torch.float64)
tensor(-108.5186, dtype=torch.float64)
tensor(-108.5583, dtype=torch.float64)
tensor(-108.6589, dtype=torch.float64)
tensor(-108.7005, dtype=torch.float64)
tensor(-108.7018, dtype=torch.float64)
tensor(-108.8632, dtype=torch.float64)
tensor(-108.9331, dtype=torch.float64)
tensor(-109.0387, dtype=torch.float64)
tensor(-109.1499, dtype=torch.float64)
tensor(-109.1732, dtype=torch.float64)
tensor(-109.2362, dtype=torch.float64)
tensor(-109.3915, dtype=torch.float64)
tensor(-109.4589, dtype=torch.float64)
tensor(-109.5346, dtype=torch.float64)
tensor(-109.6493, dtype=torch.float64)
tensor(-109.7496, dtype=torch.float64)
tensor(-109.8231, dtype=torch.float64)
tensor(-109.8825, dtype=torch.float64)
tensor(-109.9715, dtype=torch.float64)
tensor(-110.0379, dtype=torch.float64)
tensor(-110.1061, dtype=torch.float64)
tensor(-110.2238, dtype=torch.float64)
tensor(-110.2763, dtype=torch.float64)
tensor(-110.3233, dtype=torch.float64)
tensor(-110.4541, dtype=torch.float64)
tensor(-110.5050, dtype=torch.float64)
tensor(-110.6378, dtype=torch.float64)
tensor(-110.6883, dtype=torch.float64)
tensor(-110.7901, dtype=torch.float64)
tensor(-110.9093, dtype=torch.float64)
tensor(-110.9698, dtype=torch.float64)
tensor(-111.0527, dtype=torch.float64)
tensor(-111.1105, dtype=torch.float64)
tensor(-111.2230, dtype=torch.float64)
tensor(-111.2786, dtype=torch.float64)
tensor(-111.3673, dtype=torch.float64)
tensor(-111.4442, dtype=torch.float64)
tensor(-111.5429, dtype=torch.float64)
tensor(-111.6489, dtype=torch.float64)
tensor(-111.7066, dtype=torch.float64)
tensor(-111.8098, dtype=torch.float64)
tensor(-111.9172, dtype=torch.float64)
tensor(-111.9878, dtype=torch.float64)
tensor(-112.0864, dtype=torch.float64)
tensor(-112.1459, dtype=torch.float64)
tensor(-112.2356, dtype=torch.float64)
tensor(-112.3348, dtype=torch.float64)
tensor(-112.4730, dtype=torch.float64)
tensor(-112.5380, dtype=torch.float64)
tensor(-112.5456, dtype=torch.float64)
tensor(-112.5636, dtype=torch.float64)
tensor(-112.8903, dtype=torch.float64)
tensor(-112.9476, dtype=torch.float64)
tensor(-113.0563, dtype=torch.float64)
tensor(-113.1436, dtype=torch.float64)
tensor(-113.2470, dtype=torch.float64)
tensor(-113.2822, dtype=torch.float64)
tensor(-113.3908, dtype=torch.float64)
tensor(-113.5099, dtype=torch.float64)
tensor(-113.5998, dtype=torch.float64)
tensor(-113.6975, dtype=torch.float64)
tensor(-113.7308, dtype=torch.float64)
tensor(-113.8369, dtype=torch.float64)
tensor(-113.9367, dtype=torch.float64)
tensor(-114.0011, dtype=torch.float64)
tensor(-114.0054, dtype=torch.float64)
tensor(-114.1830, dtype=torch.float64)
tensor(-114.2042, dtype=torch.float64)
tensor(-114.3119, dtype=torch.float64)
tensor(-114.3895, dtype=torch.float64)
tensor(-114.4826, dtype=torch.float64)
tensor(-114.5130, dtype=torch.float64)
tensor(-114.6605, dtype=torch.float64)
tensor(-114.7496, dtype=torch.float64)
tensor(-114.8382, dtype=torch.float64)
tensor(-114.9087, dtype=torch.float64)
tensor(-115.0206, dtype=torch.float64)
tensor(-115.1098, dtype=torch.float64)
tensor(-115.1423, dtype=torch.float64)
tensor(-115.2570, dtype=torch.float64)
tensor(-115.3581, dtype=torch.float64)
tensor(-115.4064, dtype=torch.float64)
tensor(-115.5045, dtype=torch.float64)
tensor(-115.5813, dtype=torch.float64)
tensor(-115.6904, dtype=torch.float64)
tensor(-115.7653, dtype=torch.float64)
tensor(-115.8349, dtype=torch.float64)
tensor(-115.9616, dtype=torch.float64)
tensor(-116.0437, dtype=torch.float64)
tensor(-116.1017, dtype=torch.float64)
tensor(-116.1870, dtype=torch.float64)
tensor(-116.2329, dtype=torch.float64)
tensor(-116.3588, dtype=torch.float64)
tensor(-116.4266, dtype=torch.float64)
tensor(-116.5261, dtype=torch.float64)
tensor(-116.5837, dtype=torch.float64)
tensor(-116.7351, dtype=torch.float64)
tensor(-116.8018, dtype=torch.float64)
tensor(-116.8861, dtype=torch.float64)
tensor(-117.0109, dtype=torch.float64)
tensor(-117.0364, dtype=torch.float64)
tensor(-117.0951, dtype=torch.float64)
tensor(-117.2228, dtype=torch.float64)
tensor(-117.2985, dtype=torch.float64)
tensor(-117.3709, dtype=torch.float64)
tensor(-117.4539, dtype=torch.float64)
tensor(-117.5654, dtype=torch.float64)
tensor(-117.6208, dtype=torch.float64)
tensor(-117.6868, dtype=torch.float64)
tensor(-117.7344, dtype=torch.float64)
tensor(-117.8223, dtype=torch.float64)
tensor(-117.8958, dtype=torch.float64)
tensor(-117.9257, dtype=torch.float64)
tensor(-118.0480, dtype=torch.float64)
tensor(-118.1229, dtype=torch.float64)
tensor(-118.1961, dtype=torch.float64)
tensor(-118.2447, dtype=torch.float64)
tensor(-118.3549, dtype=torch.float64)
tensor(-118.3698, dtype=torch.float64)
tensor(-118.5399, dtype=torch.float64)
tensor(-118.5907, dtype=torch.float64)
tensor(-118.6351, dtype=torch.float64)
tensor(-118.7856, dtype=torch.float64)
