tensor(-29.9928, dtype=torch.float64)
tensor(-30.0970, dtype=torch.float64)
tensor(-30.2392, dtype=torch.float64)
tensor(-30.3352, dtype=torch.float64)
tensor(-30.4241, dtype=torch.float64)
tensor(-30.4980, dtype=torch.float64)
tensor(-30.5792, dtype=torch.float64)
tensor(-30.6735, dtype=torch.float64)
tensor(-30.8480, dtype=torch.float64)
tensor(-30.9612, dtype=torch.float64)
tensor(-31.0551, dtype=torch.float64)
tensor(-31.1539, dtype=torch.float64)
tensor(-31.3130, dtype=torch.float64)
tensor(-31.4077, dtype=torch.float64)
tensor(-31.4898, dtype=torch.float64)
tensor(-31.6681, dtype=torch.float64)
tensor(-31.7614, dtype=torch.float64)
tensor(-31.8921, dtype=torch.float64)
tensor(-31.9734, dtype=torch.float64)
tensor(-32.0840, dtype=torch.float64)
tensor(-32.1683, dtype=torch.float64)
tensor(-32.3310, dtype=torch.float64)
tensor(-32.3470, dtype=torch.float64)
tensor(-32.5163, dtype=torch.float64)
tensor(-32.7387, dtype=torch.float64)
tensor(-32.8193, dtype=torch.float64)
tensor(-32.9474, dtype=torch.float64)
tensor(-32.9755, dtype=torch.float64)
tensor(-33.1191, dtype=torch.float64)
tensor(-33.3493, dtype=torch.float64)
tensor(-33.4522, dtype=torch.float64)
tensor(-33.5492, dtype=torch.float64)
tensor(-33.6606, dtype=torch.float64)
tensor(-33.7526, dtype=torch.float64)
tensor(-33.8476, dtype=torch.float64)
tensor(-33.9395, dtype=torch.float64)
tensor(-34.0317, dtype=torch.float64)
tensor(-34.1957, dtype=torch.float64)
tensor(-34.3536, dtype=torch.float64)
tensor(-34.4225, dtype=torch.float64)
tensor(-34.5343, dtype=torch.float64)
tensor(-34.6795, dtype=torch.float64)
tensor(-34.7680, dtype=torch.float64)
tensor(-34.8691, dtype=torch.float64)
tensor(-34.9641, dtype=torch.float64)
tensor(-35.1275, dtype=torch.float64)
tensor(-35.2025, dtype=torch.float64)
tensor(-35.3360, dtype=torch.float64)
tensor(-35.4562, dtype=torch.float64)
tensor(-35.5081, dtype=torch.float64)
tensor(-35.5423, dtype=torch.float64)
tensor(-35.7113, dtype=torch.float64)
tensor(-35.9399, dtype=torch.float64)
tensor(-36.0161, dtype=torch.float64)
tensor(-36.0547, dtype=torch.float64)
tensor(-36.1827, dtype=torch.float64)
tensor(-36.3193, dtype=torch.float64)
tensor(-36.4126, dtype=torch.float64)
tensor(-36.4764, dtype=torch.float64)
tensor(-36.6010, dtype=torch.float64)
tensor(-36.7386, dtype=torch.float64)
tensor(-36.8070, dtype=torch.float64)
tensor(-36.8843, dtype=torch.float64)
tensor(-37.0218, dtype=torch.float64)
tensor(-37.1571, dtype=torch.float64)
tensor(-37.2249, dtype=torch.float64)
tensor(-37.3503, dtype=torch.float64)
tensor(-37.3933, dtype=torch.float64)
tensor(-37.5994, dtype=torch.float64)
tensor(-37.6765, dtype=torch.float64)
tensor(-37.7885, dtype=torch.float64)
tensor(-37.8567, dtype=torch.float64)
tensor(-37.9930, dtype=torch.float64)
tensor(-38.0031, dtype=torch.float64)
tensor(-38.2224, dtype=torch.float64)
tensor(-38.2359, dtype=torch.float64)
tensor(-38.4235, dtype=torch.float64)
tensor(-38.5305, dtype=torch.float64)
tensor(-38.5992, dtype=torch.float64)
tensor(-38.6887, dtype=torch.float64)
tensor(-38.8553, dtype=torch.float64)
tensor(-38.8788, dtype=torch.float64)
tensor(-38.9790, dtype=torch.float64)
tensor(-39.1011, dtype=torch.float64)
tensor(-39.1078, dtype=torch.float64)
tensor(-39.3532, dtype=torch.float64)
tensor(-39.3914, dtype=torch.float64)
tensor(-39.5563, dtype=torch.float64)
tensor(-39.6810, dtype=torch.float64)
tensor(-39.7604, dtype=torch.float64)
tensor(-39.8249, dtype=torch.float64)
tensor(-39.9402, dtype=torch.float64)
tensor(-39.9931, dtype=torch.float64)
tensor(-40.0759, dtype=torch.float64)
tensor(-40.1386, dtype=torch.float64)
tensor(-40.2563, dtype=torch.float64)
tensor(-40.3446, dtype=torch.float64)
tensor(-40.4385, dtype=torch.float64)
tensor(-40.4573, dtype=torch.float64)
tensor(-40.6104, dtype=torch.float64)
tensor(-40.7357, dtype=torch.float64)
tensor(-40.9153, dtype=torch.float64)
tensor(-40.9831, dtype=torch.float64)
tensor(-41.1037, dtype=torch.float64)
tensor(-41.1512, dtype=torch.float64)
tensor(-41.2339, dtype=torch.float64)
tensor(-41.3612, dtype=torch.float64)
tensor(-41.4455, dtype=torch.float64)
tensor(-41.5884, dtype=torch.float64)
tensor(-41.6673, dtype=torch.float64)
tensor(-41.7630, dtype=torch.float64)
tensor(-41.9325, dtype=torch.float64)
tensor(-42.0161, dtype=torch.float64)
tensor(-42.1333, dtype=torch.float64)
tensor(-42.1910, dtype=torch.float64)
tensor(-42.3138, dtype=torch.float64)
tensor(-42.3950, dtype=torch.float64)
tensor(-42.5063, dtype=torch.float64)
tensor(-42.5553, dtype=torch.float64)
tensor(-42.6783, dtype=torch.float64)
tensor(-42.7346, dtype=torch.float64)
tensor(-42.8137, dtype=torch.float64)
tensor(-42.8688, dtype=torch.float64)
tensor(-42.8756, dtype=torch.float64)
tensor(-43.1236, dtype=torch.float64)
tensor(-43.1888, dtype=torch.float64)
tensor(-43.2863, dtype=torch.float64)
tensor(-43.3203, dtype=torch.float64)
tensor(-43.5155, dtype=torch.float64)
tensor(-43.5457, dtype=torch.float64)
tensor(-43.6664, dtype=torch.float64)
tensor(-43.8029, dtype=torch.float64)
tensor(-43.8098, dtype=torch.float64)
tensor(-43.9834, dtype=torch.float64)
tensor(-44.1022, dtype=torch.float64)
tensor(-44.2115, dtype=torch.float64)
tensor(-44.2973, dtype=torch.float64)
tensor(-44.4068, dtype=torch.float64)
tensor(-44.5663, dtype=torch.float64)
tensor(-44.5975, dtype=torch.float64)
tensor(-44.7029, dtype=torch.float64)
tensor(-44.8335, dtype=torch.float64)
tensor(-44.9863, dtype=torch.float64)
tensor(-45.0649, dtype=torch.float64)
tensor(-45.2152, dtype=torch.float64)
tensor(-45.3066, dtype=torch.float64)
tensor(-45.4224, dtype=torch.float64)
tensor(-45.5566, dtype=torch.float64)
tensor(-45.5689, dtype=torch.float64)
tensor(-45.6643, dtype=torch.float64)
tensor(-45.7747, dtype=torch.float64)
tensor(-45.8638, dtype=torch.float64)
tensor(-45.9676, dtype=torch.float64)
tensor(-46.0913, dtype=torch.float64)
tensor(-46.1706, dtype=torch.float64)
tensor(-46.2239, dtype=torch.float64)
tensor(-46.4090, dtype=torch.float64)
tensor(-46.4865, dtype=torch.float64)
tensor(-46.6048, dtype=torch.float64)
tensor(-46.6580, dtype=torch.float64)
tensor(-46.7567, dtype=torch.float64)
tensor(-46.8153, dtype=torch.float64)
tensor(-46.8707, dtype=torch.float64)
tensor(-47.0444, dtype=torch.float64)
tensor(-47.1505, dtype=torch.float64)
tensor(-47.1986, dtype=torch.float64)
tensor(-47.3497, dtype=torch.float64)
tensor(-47.4368, dtype=torch.float64)
tensor(-47.5291, dtype=torch.float64)
tensor(-47.5444, dtype=torch.float64)
tensor(-47.7039, dtype=torch.float64)
tensor(-47.7651, dtype=torch.float64)
tensor(-47.8978, dtype=torch.float64)
tensor(-48.0303, dtype=torch.float64)
tensor(-48.1041, dtype=torch.float64)
tensor(-48.1604, dtype=torch.float64)
tensor(-48.2302, dtype=torch.float64)
tensor(-48.3438, dtype=torch.float64)
tensor(-48.4788, dtype=torch.float64)
tensor(-48.5306, dtype=torch.float64)
tensor(-48.6103, dtype=torch.float64)
tensor(-48.7767, dtype=torch.float64)
tensor(-48.8039, dtype=torch.float64)
tensor(-48.8837, dtype=torch.float64)
tensor(-48.9738, dtype=torch.float64)
tensor(-49.0198, dtype=torch.float64)
tensor(-49.0958, dtype=torch.float64)
tensor(-49.1364, dtype=torch.float64)
tensor(-49.2847, dtype=torch.float64)
tensor(-49.3569, dtype=torch.float64)
tensor(-49.4545, dtype=torch.float64)
tensor(-49.5110, dtype=torch.float64)
tensor(-49.6782, dtype=torch.float64)
tensor(-49.7332, dtype=torch.float64)
tensor(-49.8647, dtype=torch.float64)
tensor(-49.9286, dtype=torch.float64)
tensor(-50.0090, dtype=torch.float64)
tensor(-50.1133, dtype=torch.float64)
tensor(-50.2325, dtype=torch.float64)
tensor(-50.2804, dtype=torch.float64)
tensor(-50.4033, dtype=torch.float64)
tensor(-50.5259, dtype=torch.float64)
tensor(-50.6384, dtype=torch.float64)
tensor(-50.6905, dtype=torch.float64)
tensor(-50.7908, dtype=torch.float64)
tensor(-50.8174, dtype=torch.float64)
tensor(-50.8496, dtype=torch.float64)
tensor(-51.0600, dtype=torch.float64)
tensor(-51.1379, dtype=torch.float64)
tensor(-51.2111, dtype=torch.float64)
tensor(-51.4059, dtype=torch.float64)
tensor(-51.4845, dtype=torch.float64)
tensor(-51.5485, dtype=torch.float64)
tensor(-51.5948, dtype=torch.float64)
tensor(-51.7501, dtype=torch.float64)
tensor(-51.9346, dtype=torch.float64)
tensor(-51.9730, dtype=torch.float64)
tensor(-52.0488, dtype=torch.float64)
tensor(-52.1015, dtype=torch.float64)
tensor(-52.2365, dtype=torch.float64)
tensor(-52.3174, dtype=torch.float64)
tensor(-52.3781, dtype=torch.float64)
tensor(-52.4373, dtype=torch.float64)
tensor(-52.5921, dtype=torch.float64)
tensor(-52.6764, dtype=torch.float64)
tensor(-52.7820, dtype=torch.float64)
tensor(-52.8684, dtype=torch.float64)
tensor(-52.9781, dtype=torch.float64)
tensor(-53.1151, dtype=torch.float64)
tensor(-53.1790, dtype=torch.float64)
tensor(-53.2508, dtype=torch.float64)
tensor(-53.3849, dtype=torch.float64)
tensor(-53.4408, dtype=torch.float64)
tensor(-53.5318, dtype=torch.float64)
tensor(-53.5507, dtype=torch.float64)
tensor(-53.6816, dtype=torch.float64)
tensor(-53.8103, dtype=torch.float64)
tensor(-53.9333, dtype=torch.float64)
tensor(-53.9761, dtype=torch.float64)
tensor(-54.0844, dtype=torch.float64)
tensor(-54.1744, dtype=torch.float64)
tensor(-54.1796, dtype=torch.float64)
tensor(-54.3643, dtype=torch.float64)
tensor(-54.3949, dtype=torch.float64)
tensor(-54.5218, dtype=torch.float64)
tensor(-54.6568, dtype=torch.float64)
tensor(-54.7419, dtype=torch.float64)
tensor(-54.8548, dtype=torch.float64)
tensor(-54.9087, dtype=torch.float64)
tensor(-54.9603, dtype=torch.float64)
tensor(-55.0554, dtype=torch.float64)
tensor(-55.1668, dtype=torch.float64)
tensor(-55.2242, dtype=torch.float64)
tensor(-55.3160, dtype=torch.float64)
tensor(-55.3909, dtype=torch.float64)
tensor(-55.5256, dtype=torch.float64)
tensor(-55.5690, dtype=torch.float64)
tensor(-55.6732, dtype=torch.float64)
tensor(-55.7807, dtype=torch.float64)
tensor(-55.8718, dtype=torch.float64)
tensor(-55.9431, dtype=torch.float64)
tensor(-56.0527, dtype=torch.float64)
tensor(-56.1211, dtype=torch.float64)
tensor(-56.2646, dtype=torch.float64)
tensor(-56.3469, dtype=torch.float64)
tensor(-56.4185, dtype=torch.float64)
tensor(-56.4668, dtype=torch.float64)
tensor(-56.5871, dtype=torch.float64)
tensor(-56.6822, dtype=torch.float64)
tensor(-56.6907, dtype=torch.float64)
tensor(-56.8092, dtype=torch.float64)
tensor(-56.9781, dtype=torch.float64)
tensor(-57.0746, dtype=torch.float64)
tensor(-57.1774, dtype=torch.float64)
tensor(-57.1988, dtype=torch.float64)
tensor(-57.3120, dtype=torch.float64)
tensor(-57.3418, dtype=torch.float64)
tensor(-57.4737, dtype=torch.float64)
tensor(-57.5984, dtype=torch.float64)
tensor(-57.6899, dtype=torch.float64)
tensor(-57.7596, dtype=torch.float64)
tensor(-57.8259, dtype=torch.float64)
tensor(-57.9457, dtype=torch.float64)
tensor(-58.0195, dtype=torch.float64)
tensor(-58.1079, dtype=torch.float64)
tensor(-58.1887, dtype=torch.float64)
tensor(-58.2451, dtype=torch.float64)
tensor(-58.3993, dtype=torch.float64)
tensor(-58.4280, dtype=torch.float64)
tensor(-58.6299, dtype=torch.float64)
tensor(-58.7166, dtype=torch.float64)
tensor(-58.7867, dtype=torch.float64)
tensor(-58.8250, dtype=torch.float64)
tensor(-58.9052, dtype=torch.float64)
tensor(-59.0629, dtype=torch.float64)
tensor(-59.0910, dtype=torch.float64)
tensor(-59.2423, dtype=torch.float64)
tensor(-59.2609, dtype=torch.float64)
tensor(-59.4327, dtype=torch.float64)
tensor(-59.4538, dtype=torch.float64)
tensor(-59.5674, dtype=torch.float64)
tensor(-59.6481, dtype=torch.float64)
tensor(-59.7548, dtype=torch.float64)
tensor(-59.7925, dtype=torch.float64)
tensor(-59.9088, dtype=torch.float64)
tensor(-59.9492, dtype=torch.float64)
tensor(-60.1482, dtype=torch.float64)
tensor(-60.1833, dtype=torch.float64)
tensor(-60.2924, dtype=torch.float64)
tensor(-60.3455, dtype=torch.float64)
tensor(-60.4100, dtype=torch.float64)
tensor(-60.5939, dtype=torch.float64)
tensor(-60.6401, dtype=torch.float64)
tensor(-60.7338, dtype=torch.float64)
tensor(-60.8166, dtype=torch.float64)
tensor(-60.9351, dtype=torch.float64)
tensor(-61.0050, dtype=torch.float64)
tensor(-61.0435, dtype=torch.float64)
tensor(-61.1237, dtype=torch.float64)
tensor(-61.1789, dtype=torch.float64)
tensor(-61.3952, dtype=torch.float64)
tensor(-61.4008, dtype=torch.float64)
tensor(-61.5703, dtype=torch.float64)
tensor(-61.5917, dtype=torch.float64)
tensor(-61.7039, dtype=torch.float64)
tensor(-61.7394, dtype=torch.float64)
tensor(-61.7844, dtype=torch.float64)
tensor(-61.9761, dtype=torch.float64)
tensor(-61.9836, dtype=torch.float64)
