tensor(-100.1226, dtype=torch.float64)
tensor(-100.2377, dtype=torch.float64)
tensor(-100.3048, dtype=torch.float64)
tensor(-100.3673, dtype=torch.float64)
tensor(-100.4323, dtype=torch.float64)
tensor(-100.4521, dtype=torch.float64)
tensor(-100.4568, dtype=torch.float64)
tensor(-100.6017, dtype=torch.float64)
tensor(-100.6595, dtype=torch.float64)
tensor(-100.7339, dtype=torch.float64)
tensor(-100.7428, dtype=torch.float64)
tensor(-100.7686, dtype=torch.float64)
tensor(-100.8175, dtype=torch.float64)
tensor(-100.8708, dtype=torch.float64)
tensor(-100.9943, dtype=torch.float64)
tensor(-101.0042, dtype=torch.float64)
tensor(-101.1126, dtype=torch.float64)
tensor(-101.1132, dtype=torch.float64)
tensor(-101.2244, dtype=torch.float64)
tensor(-101.2574, dtype=torch.float64)
tensor(-101.3512, dtype=torch.float64)
tensor(-101.3963, dtype=torch.float64)
tensor(-101.5240, dtype=torch.float64)
tensor(-101.5574, dtype=torch.float64)
tensor(-101.6568, dtype=torch.float64)
tensor(-101.6643, dtype=torch.float64)
tensor(-101.7397, dtype=torch.float64)
tensor(-101.8231, dtype=torch.float64)
tensor(-101.8525, dtype=torch.float64)
tensor(-101.9631, dtype=torch.float64)
tensor(-102.0394, dtype=torch.float64)
tensor(-102.0599, dtype=torch.float64)
tensor(-102.0963, dtype=torch.float64)
tensor(-102.1986, dtype=torch.float64)
tensor(-102.2257, dtype=torch.float64)
tensor(-102.3225, dtype=torch.float64)
tensor(-102.3968, dtype=torch.float64)
tensor(-102.4197, dtype=torch.float64)
tensor(-102.5808, dtype=torch.float64)
tensor(-102.6222, dtype=torch.float64)
tensor(-102.6832, dtype=torch.float64)
tensor(-102.7138, dtype=torch.float64)
tensor(-102.7373, dtype=torch.float64)
tensor(-102.8646, dtype=torch.float64)
tensor(-102.9003, dtype=torch.float64)
tensor(-102.9052, dtype=torch.float64)
tensor(-102.9535, dtype=torch.float64)
tensor(-103.0610, dtype=torch.float64)
tensor(-103.1174, dtype=torch.float64)
tensor(-103.1655, dtype=torch.float64)
tensor(-103.1833, dtype=torch.float64)
tensor(-103.2682, dtype=torch.float64)
tensor(-103.3154, dtype=torch.float64)
tensor(-103.3739, dtype=torch.float64)
tensor(-103.4211, dtype=torch.float64)
