tensor(-32.3457, dtype=torch.float64)
tensor(-32.4491, dtype=torch.float64)
tensor(-32.6532, dtype=torch.float64)
tensor(-32.8326, dtype=torch.float64)
tensor(-32.8370, dtype=torch.float64)
tensor(-33.0408, dtype=torch.float64)
tensor(-33.2397, dtype=torch.float64)
tensor(-33.3336, dtype=torch.float64)
tensor(-33.5469, dtype=torch.float64)
tensor(-33.6311, dtype=torch.float64)
tensor(-33.7772, dtype=torch.float64)
tensor(-33.9122, dtype=torch.float64)
tensor(-34.0003, dtype=torch.float64)
tensor(-34.1626, dtype=torch.float64)
tensor(-34.1645, dtype=torch.float64)
tensor(-34.3334, dtype=torch.float64)
tensor(-34.3528, dtype=torch.float64)
tensor(-34.6793, dtype=torch.float64)
tensor(-34.7549, dtype=torch.float64)
tensor(-34.9266, dtype=torch.float64)
tensor(-35.0269, dtype=torch.float64)
tensor(-35.1009, dtype=torch.float64)
tensor(-35.3760, dtype=torch.float64)
tensor(-35.4955, dtype=torch.float64)
tensor(-35.5068, dtype=torch.float64)
tensor(-35.7515, dtype=torch.float64)
tensor(-35.8896, dtype=torch.float64)
tensor(-36.0641, dtype=torch.float64)
tensor(-36.2440, dtype=torch.float64)
tensor(-36.3687, dtype=torch.float64)
tensor(-36.4838, dtype=torch.float64)
tensor(-36.6111, dtype=torch.float64)
tensor(-36.7745, dtype=torch.float64)
tensor(-36.8935, dtype=torch.float64)
tensor(-37.1409, dtype=torch.float64)
tensor(-37.1708, dtype=torch.float64)
tensor(-37.3908, dtype=torch.float64)
tensor(-37.4078, dtype=torch.float64)
tensor(-37.6746, dtype=torch.float64)
tensor(-37.8133, dtype=torch.float64)
tensor(-37.9600, dtype=torch.float64)
tensor(-38.0473, dtype=torch.float64)
tensor(-38.1246, dtype=torch.float64)
tensor(-38.3221, dtype=torch.float64)
tensor(-38.4464, dtype=torch.float64)
tensor(-38.6630, dtype=torch.float64)
tensor(-38.7807, dtype=torch.float64)
tensor(-38.8915, dtype=torch.float64)
tensor(-39.0412, dtype=torch.float64)
tensor(-39.1096, dtype=torch.float64)
tensor(-39.2963, dtype=torch.float64)
tensor(-39.3811, dtype=torch.float64)
tensor(-39.5783, dtype=torch.float64)
tensor(-39.5797, dtype=torch.float64)
tensor(-39.8347, dtype=torch.float64)
tensor(-39.9509, dtype=torch.float64)
tensor(-40.1053, dtype=torch.float64)
tensor(-40.2293, dtype=torch.float64)
tensor(-40.2705, dtype=torch.float64)
tensor(-40.3778, dtype=torch.float64)
tensor(-40.5838, dtype=torch.float64)
tensor(-40.7226, dtype=torch.float64)
tensor(-40.7972, dtype=torch.float64)
tensor(-40.9551, dtype=torch.float64)
tensor(-41.0783, dtype=torch.float64)
tensor(-41.1167, dtype=torch.float64)
tensor(-41.3380, dtype=torch.float64)
tensor(-41.4331, dtype=torch.float64)
tensor(-41.5396, dtype=torch.float64)
tensor(-41.7238, dtype=torch.float64)
tensor(-41.8647, dtype=torch.float64)
tensor(-42.0022, dtype=torch.float64)
tensor(-42.0348, dtype=torch.float64)
tensor(-42.2714, dtype=torch.float64)
tensor(-42.4006, dtype=torch.float64)
tensor(-42.5105, dtype=torch.float64)
tensor(-42.6415, dtype=torch.float64)
tensor(-42.7351, dtype=torch.float64)
tensor(-42.8230, dtype=torch.float64)
tensor(-43.0004, dtype=torch.float64)
tensor(-43.0764, dtype=torch.float64)
tensor(-43.2154, dtype=torch.float64)
tensor(-43.3000, dtype=torch.float64)
tensor(-43.4508, dtype=torch.float64)
tensor(-43.6023, dtype=torch.float64)
tensor(-43.6945, dtype=torch.float64)
tensor(-43.7053, dtype=torch.float64)
tensor(-43.9509, dtype=torch.float64)
tensor(-44.0670, dtype=torch.float64)
tensor(-44.2455, dtype=torch.float64)
tensor(-44.4240, dtype=torch.float64)
tensor(-44.5350, dtype=torch.float64)
tensor(-44.6504, dtype=torch.float64)
tensor(-44.7680, dtype=torch.float64)
tensor(-44.8844, dtype=torch.float64)
tensor(-44.9929, dtype=torch.float64)
tensor(-45.1312, dtype=torch.float64)
tensor(-45.1448, dtype=torch.float64)
tensor(-45.3410, dtype=torch.float64)
tensor(-45.4551, dtype=torch.float64)
tensor(-45.6207, dtype=torch.float64)
tensor(-45.6319, dtype=torch.float64)
tensor(-45.8975, dtype=torch.float64)
tensor(-45.9587, dtype=torch.float64)
tensor(-46.0717, dtype=torch.float64)
tensor(-46.3234, dtype=torch.float64)
tensor(-46.4187, dtype=torch.float64)
tensor(-46.5265, dtype=torch.float64)
tensor(-46.6698, dtype=torch.float64)
tensor(-46.8346, dtype=torch.float64)
tensor(-46.9519, dtype=torch.float64)
tensor(-47.0389, dtype=torch.float64)
tensor(-47.1982, dtype=torch.float64)
tensor(-47.2327, dtype=torch.float64)
tensor(-47.4038, dtype=torch.float64)
tensor(-47.5286, dtype=torch.float64)
tensor(-47.5600, dtype=torch.float64)
tensor(-47.7776, dtype=torch.float64)
tensor(-47.8596, dtype=torch.float64)
tensor(-47.9760, dtype=torch.float64)
tensor(-48.0941, dtype=torch.float64)
tensor(-48.2163, dtype=torch.float64)
tensor(-48.2938, dtype=torch.float64)
tensor(-48.4646, dtype=torch.float64)
tensor(-48.5817, dtype=torch.float64)
tensor(-48.6816, dtype=torch.float64)
tensor(-48.8526, dtype=torch.float64)
tensor(-48.9439, dtype=torch.float64)
tensor(-49.0540, dtype=torch.float64)
tensor(-49.2488, dtype=torch.float64)
tensor(-49.3566, dtype=torch.float64)
tensor(-49.4755, dtype=torch.float64)
tensor(-49.5870, dtype=torch.float64)
tensor(-49.7442, dtype=torch.float64)
tensor(-49.8631, dtype=torch.float64)
tensor(-49.9403, dtype=torch.float64)
tensor(-50.0870, dtype=torch.float64)
tensor(-50.1696, dtype=torch.float64)
tensor(-50.4041, dtype=torch.float64)
tensor(-50.4439, dtype=torch.float64)
tensor(-50.5903, dtype=torch.float64)
tensor(-50.6525, dtype=torch.float64)
tensor(-50.8177, dtype=torch.float64)
tensor(-50.9106, dtype=torch.float64)
tensor(-51.0602, dtype=torch.float64)
tensor(-51.2081, dtype=torch.float64)
tensor(-51.3132, dtype=torch.float64)
tensor(-51.4750, dtype=torch.float64)
tensor(-51.5656, dtype=torch.float64)
tensor(-51.6577, dtype=torch.float64)
tensor(-51.7945, dtype=torch.float64)
tensor(-51.9046, dtype=torch.float64)
tensor(-52.0593, dtype=torch.float64)
tensor(-52.1878, dtype=torch.float64)
tensor(-52.3439, dtype=torch.float64)
tensor(-52.4689, dtype=torch.float64)
tensor(-52.5229, dtype=torch.float64)
tensor(-52.6480, dtype=torch.float64)
tensor(-52.7880, dtype=torch.float64)
tensor(-52.9025, dtype=torch.float64)
tensor(-53.0166, dtype=torch.float64)
tensor(-53.1226, dtype=torch.float64)
tensor(-53.2314, dtype=torch.float64)
tensor(-53.2686, dtype=torch.float64)
tensor(-53.5290, dtype=torch.float64)
tensor(-53.5695, dtype=torch.float64)
tensor(-53.7880, dtype=torch.float64)
tensor(-53.9387, dtype=torch.float64)
tensor(-53.9529, dtype=torch.float64)
tensor(-54.1089, dtype=torch.float64)
tensor(-54.1857, dtype=torch.float64)
tensor(-54.2822, dtype=torch.float64)
tensor(-54.3735, dtype=torch.float64)
tensor(-54.4493, dtype=torch.float64)
tensor(-54.7277, dtype=torch.float64)
tensor(-54.8726, dtype=torch.float64)
tensor(-54.9804, dtype=torch.float64)
tensor(-55.0337, dtype=torch.float64)
tensor(-55.2413, dtype=torch.float64)
tensor(-55.3249, dtype=torch.float64)
tensor(-55.4508, dtype=torch.float64)
tensor(-55.5393, dtype=torch.float64)
tensor(-55.7834, dtype=torch.float64)
tensor(-55.8805, dtype=torch.float64)
tensor(-56.0563, dtype=torch.float64)
tensor(-56.1927, dtype=torch.float64)
tensor(-56.2699, dtype=torch.float64)
tensor(-56.3787, dtype=torch.float64)
tensor(-56.5437, dtype=torch.float64)
tensor(-56.7001, dtype=torch.float64)
tensor(-56.9059, dtype=torch.float64)
tensor(-57.0690, dtype=torch.float64)
tensor(-57.2392, dtype=torch.float64)
tensor(-57.4029, dtype=torch.float64)
tensor(-57.4872, dtype=torch.float64)
tensor(-57.5773, dtype=torch.float64)
tensor(-57.6884, dtype=torch.float64)
tensor(-57.8357, dtype=torch.float64)
tensor(-58.0030, dtype=torch.float64)
tensor(-58.1416, dtype=torch.float64)
tensor(-58.3084, dtype=torch.float64)
tensor(-58.4152, dtype=torch.float64)
tensor(-58.5591, dtype=torch.float64)
tensor(-58.6328, dtype=torch.float64)
tensor(-58.8086, dtype=torch.float64)
tensor(-58.9239, dtype=torch.float64)
tensor(-59.0406, dtype=torch.float64)
tensor(-59.1617, dtype=torch.float64)
tensor(-59.3020, dtype=torch.float64)
tensor(-59.4199, dtype=torch.float64)
tensor(-59.5682, dtype=torch.float64)
tensor(-59.5726, dtype=torch.float64)
tensor(-59.7944, dtype=torch.float64)
tensor(-59.9237, dtype=torch.float64)
tensor(-60.0240, dtype=torch.float64)
tensor(-60.1214, dtype=torch.float64)
tensor(-60.3412, dtype=torch.float64)
tensor(-60.3506, dtype=torch.float64)
tensor(-60.4262, dtype=torch.float64)
tensor(-60.7088, dtype=torch.float64)
tensor(-60.7635, dtype=torch.float64)
tensor(-60.9496, dtype=torch.float64)
tensor(-61.0987, dtype=torch.float64)
tensor(-61.1285, dtype=torch.float64)
tensor(-61.3370, dtype=torch.float64)
tensor(-61.4155, dtype=torch.float64)
tensor(-61.5861, dtype=torch.float64)
tensor(-61.6644, dtype=torch.float64)
tensor(-61.8359, dtype=torch.float64)
tensor(-61.8858, dtype=torch.float64)
tensor(-62.0590, dtype=torch.float64)
tensor(-62.1770, dtype=torch.float64)
tensor(-62.3042, dtype=torch.float64)
tensor(-62.5142, dtype=torch.float64)
tensor(-62.6053, dtype=torch.float64)
tensor(-62.7105, dtype=torch.float64)
tensor(-62.7946, dtype=torch.float64)
tensor(-62.9189, dtype=torch.float64)
tensor(-63.1131, dtype=torch.float64)
tensor(-63.2432, dtype=torch.float64)
tensor(-63.3418, dtype=torch.float64)
tensor(-63.4748, dtype=torch.float64)
tensor(-63.5701, dtype=torch.float64)
tensor(-63.7242, dtype=torch.float64)
tensor(-63.8322, dtype=torch.float64)
tensor(-63.9275, dtype=torch.float64)
tensor(-64.0886, dtype=torch.float64)
tensor(-64.1728, dtype=torch.float64)
tensor(-64.3161, dtype=torch.float64)
tensor(-64.4590, dtype=torch.float64)
tensor(-64.5893, dtype=torch.float64)
tensor(-64.6641, dtype=torch.float64)
tensor(-64.7364, dtype=torch.float64)
tensor(-64.8407, dtype=torch.float64)
tensor(-65.0467, dtype=torch.float64)
tensor(-65.1457, dtype=torch.float64)
tensor(-65.2780, dtype=torch.float64)
tensor(-65.3942, dtype=torch.float64)
tensor(-65.4532, dtype=torch.float64)
tensor(-65.5619, dtype=torch.float64)
tensor(-65.6895, dtype=torch.float64)
tensor(-65.8079, dtype=torch.float64)
tensor(-65.9766, dtype=torch.float64)
tensor(-66.0925, dtype=torch.float64)
tensor(-66.1981, dtype=torch.float64)
tensor(-66.3127, dtype=torch.float64)
tensor(-66.4603, dtype=torch.float64)
